"rho","rhou","rhov","E","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.439015150070e-01,6.846950650215e-01,6.685612201691e-01,1.723961353302e+00,1,3.000000000000e+01,1.000000000000e+01,1.000000000000e+01,0.000000000000e+00
4.038248956203e-01,8.044783473015e-01,9.987373948097e-01,2.538175106049e+00,1,3.039999961853e+01,1.039999961853e+01,1.000000000000e+01,0.000000000000e+00
5.884917974472e-01,1.172759652138e+00,1.619735002518e+00,4.253776550293e+00,1,3.079999923706e+01,1.080000019073e+01,1.000000000000e+01,0.000000000000e+00
7.936493158340e-01,1.581357359886e+00,2.194348335266e+00,5.901196479797e+00,1,3.120000076294e+01,1.119999980927e+01,1.000000000000e+01,0.000000000000e+00
9.246906042099e-01,1.842151880264e+00,2.406477212906e+00,6.568354606628e+00,1,3.160000038147e+01,1.160000038147e+01,1.000000000000e+01,0.000000000000e+00
9.798039197922e-01,1.952404379845e+00,2.333672761917e+00,6.462507247925e+00,1,3.200000000000e+01,1.200000000000e+01,1.000000000000e+01,0.000000000000e+00
9.975728988647e-01,1.989456534386e+00,2.189129829407e+00,6.162864685059e+00,1,3.240000152588e+01,1.239999961853e+01,1.000000000000e+01,0.000000000000e+00
1.001188874245e+00,1.998954296112e+00,2.079768419266e+00,5.940097332001e+00,1,3.279999923706e+01,1.280000019073e+01,1.000000000000e+01,0.000000000000e+00
1.000265479088e+00,1.998649358749e+00,2.024638891220e+00,5.831129074097e+00,1,3.320000076294e+01,1.319999980927e+01,1.000000000000e+01,0.000000000000e+00
9.998382925987e-01,1.998493194580e+00,2.006006479263e+00,5.795098304749e+00,1,3.359999847412e+01,1.360000038147e+01,1.000000000000e+01,0.000000000000e+00
9.998994469643e-01,1.998995423317e+00,2.001329421997e+00,5.786516189575e+00,1,3.400000000000e+01,1.400000000000e+01,1.000000000000e+01,0.000000000000e+00
9.999092817307e-01,1.999242424965e+00,2.000318765640e+00,5.784970283508e+00,1,3.440000152588e+01,1.439999961853e+01,1.000000000000e+01,0.000000000000e+00
9.999151825905e-01,1.999398469925e+00,2.000101089478e+00,5.784841060638e+00,1,3.479999923706e+01,1.480000019073e+01,1.000000000000e+01,0.000000000000e+00
9.999215006828e-01,1.999508023262e+00,2.000016450882e+00,5.784881114960e+00,1,3.520000076294e+01,1.519999980927e+01,1.000000000000e+01,0.000000000000e+00
9.999265670776e-01,1.999585986137e+00,1.999965190887e+00,5.784926414490e+00,1,3.559999847412e+01,1.560000038147e+01,1.000000000000e+01,0.000000000000e+00
9.999297261238e-01,1.999640107155e+00,1.999930024147e+00,5.784960269928e+00,1,3.600000000000e+01,1.600000000000e+01,1.000000000000e+01,0.000000000000e+00
9.999282360077e-01,1.999668836594e+00,1.999899864197e+00,5.784959316254e+00,1,3.640000152588e+01,1.639999961853e+01,1.000000000000e+01,0.000000000000e+00
9.999238252640e-01,1.999680995941e+00,1.999873518944e+00,5.784937858582e+00,1,3.679999923706e+01,1.679999923706e+01,1.000000000000e+01,0.000000000000e+00
9.999338388443e-01,1.999731183052e+00,1.999882340431e+00,5.785040378571e+00,1,3.720000076294e+01,1.720000076294e+01,1.000000000000e+01,0.000000000000e+00
9.999800920486e-01,1.999885439873e+00,1.999966979027e+00,5.785449028015e+00,1,3.759999847412e+01,1.760000038147e+01,1.000000000000e+01,0.000000000000e+00
1.000039458275e+00,2.000074625015e+00,2.000080108643e+00,5.785964488983e+00,1,3.800000000000e+01,1.800000000000e+01,1.000000000000e+01,0.000000000000e+00
1.000033140182e+00,2.000064134598e+00,2.000064849854e+00,5.785923004150e+00,1,3.840000152588e+01,1.839999961853e+01,1.000000000000e+01,0.000000000000e+00
9.999281764030e-01,1.999757289886e+00,1.999856710434e+00,5.785049915314e+00,1,3.879999923706e+01,1.879999923706e+01,1.000000000000e+01,0.000000000000e+00
9.998157024384e-01,1.999429106712e+00,1.999635934830e+00,5.784121036530e+00,1,3.920000076294e+01,1.920000076294e+01,1.000000000000e+01,0.000000000000e+00
9.998060464859e-01,1.999409198761e+00,1.999620676041e+00,5.784064769745e+00,1,3.959999847412e+01,1.960000038147e+01,1.000000000000e+01,0.000000000000e+00
9.998971223831e-01,1.999617695808e+00,1.999803900719e+00,5.784915924072e+00,1,4.000000000000e+01,2.000000000000e+01,1.000000000000e+01,0.000000000000e+00
